employee_id,first_name,last_name,gender,birth_date,hire_date,termination_date,status,hotel_code,hotel_name,city,country,department_code,department_name,contract_type,hierarchy_level
EMP00001,Laura,Garcia Diaz,Female,2004-08-12,2022-09-30,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HR,Human Resources,Temporary,Staff
EMP00002,Lucia,Fernandez Garcia,Female,1983-08-14,2026-04-17,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Seasonal,Staff
EMP00003,Sofia,Garcia Perez,Female,2002-12-20,2024-09-27,2025-11-20,Voluntary Termination,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HR,Human Resources,Temporary,Supervisor
EMP00004,Laura,Morales Morales,Female,1982-05-01,2022-12-19,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FD,Front Desk,Permanent,Staff
EMP00005,Paula,Morales Gonzalez,Female,1986-02-11,2020-10-11,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FB,Food & Beverage,Permanent,Staff
EMP00006,Valentina,Morales Perez,Female,1985-07-20,2024-02-25,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FD,Front Desk,Permanent,Manager
EMP00007,Maria,Vargas Castro,Female,1977-05-25,2023-01-10,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Seasonal,Staff
EMP00008,Laura,Gonzalez Ramirez,Female,2001-03-31,2022-05-20,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Temporary,Staff
EMP00009,Sofia,Romero Castro,Female,1982-05-17,2024-01-22,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Seasonal,Staff
EMP00010,Maria,Romero Martinez,Female,1967-09-01,2024-04-25,,Long Leave,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FD,Front Desk,Permanent,Supervisor
EMP00011,Carlos,Diaz Ramirez,Male,1973-01-27,2021-04-01,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HR,Human Resources,Seasonal,Staff
EMP00012,Camila,Lopez Torres,Female,1997-09-12,2025-09-10,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Permanent,Staff
EMP00013,Valentina,Garcia Lopez,Female,1997-05-01,2024-01-26,2025-07-07,Voluntary Termination,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,SW,Spa & Wellness,Permanent,Staff
EMP00014,Carlos,Sanchez Sanchez,Male,2006-02-22,2025-04-30,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Internship,Staff
EMP00015,Lucia,Torres Castro,Female,1983-02-15,2024-03-09,2024-04-30,Voluntary Termination,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,SW,Spa & Wellness,Temporary,Staff
EMP00016,Paula,Fernandez Fernandez,Female,1999-12-24,2020-01-30,2022-10-30,Voluntary Termination,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Seasonal,Staff
EMP00017,Sofia,Herrera Gonzalez,Female,1972-10-11,2026-01-17,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FB,Food & Beverage,Temporary,Staff
EMP00018,Isabel,Gonzalez Lopez,Female,1984-05-14,2021-02-01,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Temporary,Staff
EMP00019,Carlos,Rodriguez Castro,Male,2006-10-24,2023-10-21,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FD,Front Desk,Permanent,Staff
EMP00020,Valentina,Fernandez Martinez,Female,2000-02-10,2024-12-20,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Permanent,Staff
EMP00021,Jose,Castro Rodriguez,Male,1999-10-22,2021-11-05,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Permanent,Staff
EMP00022,Camila,Herrera Sanchez,Female,1970-09-06,2022-02-16,2023-12-18,Voluntary Termination,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FB,Food & Beverage,Permanent,Staff
EMP00023,Juan,Rodriguez Herrera,Male,2000-03-07,2025-08-21,2025-10-25,Involuntary Termination,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,SW,Spa & Wellness,Permanent,Staff
EMP00024,Jose,Castro Lopez,Male,1991-04-30,2026-05-22,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FB,Food & Beverage,Permanent,Supervisor
EMP00025,Fernando,Ramirez Diaz,Male,1996-07-02,2022-04-16,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,SM,Sales & Marketing,Permanent,Staff
EMP00026,Laura,Garcia Vargas,Female,1999-01-26,2026-04-25,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Permanent,Staff
EMP00027,Maria,Morales Martinez,Female,1963-09-06,2022-09-27,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,SC,Security,Permanent,Staff
EMP00028,Camila,Garcia Torres,Female,2005-08-31,2021-02-28,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FD,Front Desk,Permanent,Staff
EMP00029,Jose,Ramirez Gonzalez,Male,1978-11-06,2022-12-17,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FD,Front Desk,Permanent,Staff
EMP00030,Carmen,Sanchez Diaz,Female,1992-04-14,2021-10-23,2025-10-08,Involuntary Termination,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Permanent,Staff
EMP00031,Miguel,Rodriguez Morales,Male,1987-12-07,2026-03-13,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Temporary,Staff
EMP00032,Juan,Morales Gonzalez,Male,1995-03-23,2022-10-19,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FD,Front Desk,Permanent,Staff
EMP00033,Maria,Perez Romero,Female,2006-03-21,2020-04-11,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Permanent,Staff
EMP00034,Ana,Herrera Fernandez,Female,1986-05-29,2022-03-28,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Permanent,Supervisor
EMP00035,Sofia,Martinez Diaz,Female,2002-01-28,2023-12-09,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HR,Human Resources,Permanent,Staff
EMP00036,Luis,Rodriguez Lopez,Male,1971-04-12,2024-11-14,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,SM,Sales & Marketing,Permanent,Staff
EMP00037,Luis,Rodriguez Romero,Male,1978-12-23,2020-01-07,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FD,Front Desk,Permanent,Supervisor
EMP00038,Carlos,Torres Torres,Male,1986-03-04,2024-07-30,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,MT,Maintenance,Permanent,Staff
EMP00039,Miguel,Torres Castro,Male,2007-08-19,2026-02-22,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,SM,Sales & Marketing,Temporary,Staff
EMP00040,Paula,Ramirez Vargas,Female,2001-03-16,2024-12-14,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FN,Finance,Permanent,Director Hotel
EMP00041,Andres,Ramirez Martinez,Male,1987-05-18,2022-08-20,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Permanent,Staff
EMP00042,Carlos,Vargas Romero,Male,1992-07-10,2022-03-07,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Temporary,Supervisor
EMP00043,Carlos,Romero Fernandez,Male,1982-04-09,2021-12-21,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,MT,Maintenance,Temporary,Staff
EMP00044,Camila,Ramirez Vargas,Female,1964-10-10,2025-08-29,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FB,Food & Beverage,Permanent,Supervisor
EMP00045,Sofia,Herrera Fernandez,Female,1998-12-21,2023-01-29,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FN,Finance,Permanent,Staff
EMP00046,Miguel,Sanchez Fernandez,Male,1996-12-23,2024-04-17,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FD,Front Desk,Permanent,Staff
EMP00047,Lucia,Romero Castro,Female,1967-11-24,2020-03-21,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,MT,Maintenance,Permanent,Staff
EMP00048,Fernando,Fernandez Herrera,Male,1993-12-20,2022-06-17,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FB,Food & Beverage,Permanent,Staff
EMP00049,Miguel,Vargas Sanchez,Male,1994-05-28,2025-12-27,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HR,Human Resources,Seasonal,Staff
EMP00050,Carlos,Romero Sanchez,Male,1974-02-22,2025-03-06,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FB,Food & Beverage,Permanent,Staff
EMP00051,Fernando,Diaz Romero,Male,1969-12-13,2022-10-30,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FD,Front Desk,Permanent,Staff
EMP00052,Ana,Garcia Fernandez,Female,1987-10-12,2022-03-27,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FD,Front Desk,Seasonal,Staff
EMP00053,Jose,Vargas Diaz,Male,1979-03-19,2024-02-19,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FB,Food & Beverage,Permanent,Staff
EMP00054,Juan,Torres Castro,Male,1980-06-19,2024-06-12,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FN,Finance,Permanent,Staff
EMP00055,Andres,Lopez Rodriguez,Male,1994-12-18,2023-11-23,2025-02-25,Voluntary Termination,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,SC,Security,Temporary,Staff
EMP00056,Valentina,Lopez Romero,Female,1997-09-16,2024-01-23,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FD,Front Desk,Permanent,Staff
EMP00057,Camila,Herrera Vargas,Female,1978-10-23,2024-11-19,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,MT,Maintenance,Permanent,Manager
EMP00058,Paula,Castro Ramirez,Female,1994-12-11,2020-04-27,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Permanent,Staff
EMP00059,Andres,Diaz Garcia,Male,1998-08-30,2025-10-17,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Permanent,Staff
EMP00060,Pedro,Vargas Garcia,Male,1996-07-06,2021-01-16,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,SC,Security,Internship,Staff
EMP00061,Javier,Morales Romero,Male,2003-02-02,2026-03-04,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FB,Food & Beverage,Permanent,Manager
EMP00062,Jose,Lopez Gonzalez,Male,2006-10-06,2023-07-16,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,SW,Spa & Wellness,Temporary,Staff
EMP00063,Camila,Torres Lopez,Female,1985-06-03,2022-03-06,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FB,Food & Beverage,Permanent,Staff
EMP00064,Ana,Rodriguez Torres,Female,1989-10-13,2021-06-01,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HR,Human Resources,Temporary,Staff
EMP00065,Ana,Diaz Herrera,Female,2006-07-23,2021-04-12,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Permanent,Staff
EMP00066,Paula,Torres Martinez,Female,1983-07-30,2022-10-13,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Permanent,Staff
EMP00067,Valentina,Vargas Torres,Female,2004-04-21,2024-10-22,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Permanent,Staff
EMP00068,Lucia,Diaz Martinez,Female,2005-06-09,2021-10-05,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FB,Food & Beverage,Permanent,Staff
EMP00069,Valentina,Torres Rodriguez,Female,1983-02-11,2022-08-06,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,MT,Maintenance,Permanent,Staff
EMP00070,Paula,Gonzalez Romero,Female,1986-05-11,2021-04-15,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Permanent,Manager
EMP00071,Andres,Torres Vargas,Male,1995-09-08,2021-05-24,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FD,Front Desk,Permanent,Staff
EMP00072,Juan,Romero Ramirez,Male,1971-05-31,2022-10-22,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HR,Human Resources,Permanent,Staff
EMP00073,Sofia,Rodriguez Perez,Female,2000-07-20,2025-04-11,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Permanent,Manager
EMP00074,Pedro,Morales Romero,Male,2002-06-20,2023-09-27,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Permanent,Staff
EMP00075,Fernando,Rodriguez Vargas,Male,1984-11-16,2020-12-26,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FB,Food & Beverage,Permanent,Staff
EMP00076,Juan,Vargas Romero,Male,2004-09-28,2020-08-10,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,SC,Security,Temporary,Staff
EMP00077,Jose,Diaz Sanchez,Male,1992-08-03,2023-03-25,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,SW,Spa & Wellness,Internship,Staff
EMP00078,Luis,Garcia Romero,Male,1999-03-24,2021-01-16,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FB,Food & Beverage,Seasonal,Staff
EMP00079,Javier,Diaz Romero,Male,1996-11-26,2025-05-30,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,SC,Security,Permanent,Staff
EMP00080,Miguel,Martinez Diaz,Male,2003-01-09,2024-08-26,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FB,Food & Beverage,Seasonal,Staff
EMP00081,Pedro,Sanchez Vargas,Male,1963-09-06,2026-01-15,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Permanent,Staff
EMP00082,Fernando,Vargas Ramirez,Male,1990-11-12,2022-02-11,2026-05-14,Involuntary Termination,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,MT,Maintenance,Permanent,Staff
EMP00083,Pedro,Castro Castro,Male,1999-12-24,2021-09-15,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,SW,Spa & Wellness,Temporary,Supervisor
EMP00084,Valentina,Lopez Vargas,Female,1994-01-26,2020-03-03,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FD,Front Desk,Permanent,Staff
EMP00085,Laura,Ramirez Castro,Female,2001-02-10,2023-07-21,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Temporary,Staff
EMP00086,Lucia,Martinez Romero,Female,1988-05-18,2021-02-07,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,SC,Security,Permanent,Staff
EMP00087,Carmen,Morales Romero,Female,1992-03-10,2021-08-19,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Internship,Staff
EMP00088,Fernando,Fernandez Herrera,Male,1992-07-04,2021-08-09,2026-03-14,Voluntary Termination,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HR,Human Resources,Internship,Staff
EMP00089,Pedro,Torres Perez,Male,2000-11-05,2020-10-29,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FD,Front Desk,Permanent,Staff
EMP00090,Sofia,Gonzalez Castro,Female,2006-08-20,2025-06-02,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Permanent,Manager
EMP00091,Ana,Castro Diaz,Female,1964-02-14,2020-02-03,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,MT,Maintenance,Temporary,Staff
EMP00092,Lucia,Diaz Sanchez,Female,1965-12-06,2021-02-01,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FB,Food & Beverage,Seasonal,Supervisor
EMP00093,Sofia,Ramirez Romero,Female,1997-09-27,2021-12-20,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HR,Human Resources,Permanent,Staff
EMP00094,Nico,Herrera Torres,Non Binary,1993-02-15,2023-10-19,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Permanent,Staff
EMP00095,Fernando,Morales Martinez,Male,1981-12-04,2024-06-04,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,SC,Security,Permanent,Staff
EMP00096,Andres,Castro Morales,Male,1970-12-25,2021-03-19,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Permanent,Staff
EMP00097,Laura,Vargas Torres,Female,1997-10-01,2024-07-30,2025-04-27,Voluntary Termination,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,MT,Maintenance,Permanent,Supervisor
EMP00098,Javier,Sanchez Castro,Male,1984-03-23,2025-02-01,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Internship,Staff
EMP00099,Pedro,Romero Diaz,Male,2002-12-07,2020-05-14,2024-07-27,Involuntary Termination,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FB,Food & Beverage,Temporary,Staff
EMP00100,Javier,Morales Rodriguez,Male,1996-07-06,2024-06-18,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HR,Human Resources,Temporary,Staff
EMP00101,Juan,Rodriguez Ramirez,Male,1990-08-31,2022-09-24,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,SM,Sales & Marketing,Permanent,Manager
EMP00102,Jose,Ramirez Sanchez,Male,1998-03-13,2020-01-12,2020-05-27,Retirement,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,IT,Information Technology,Permanent,Staff
